UNIX time,lat,lon
1485982140,45.45657,9.21202
1485982140,45.47434,9.15734
1485982140,45.50799,9.21448
1485982140,45.44878,9.16099
1485982200,45.47,9.18396
1485982200,45.47613,9.1622
1485982200,45.44661,9.19455
1485982200,45.44034,9.2251
1485982200,45.46416,9.22142
1485982200,45.51262,9.14579
1485982260,45.46167,9.1824
1485982260,45.49157,9.16204
1485982260,45.50244,9.1945
1485982260,45.48448,9.16398
1485982260,45.48375,9.17156
1485982260,45.5027,9.16155
1485982260,45.48574,9.20736
1485982320,45.44879,9.17962
1485982320,45.47834,9.22287
1485982380,45.45463,9.19826
1485982380,45.51234,9.20441
1485982380,45.45179,9.20732
1485982380,45.45887,9.19137
1485982380,45.45324,9.17213
1485982380,45.45321,9.17219
1485982380,45.4357,9.14973
1485982440,45.4881,9.16691
1485982440,45.45314,9.17116
1485982440,45.44755,9.17455
1485982440,45.51443,9.22795
1485982500,45.45354,9.18354
1485982500,45.45781,9.18379
1485982500,45.46969,9.17674
1485982500,45.46019,9.16471
1485982500,45.48009,9.18102
1485982500,45.43775,9.19019
1485982500,45.47911,9.21851
1485982500,45.49725,9.18771
1485982500,45.44295,9.16678
1485982500,45.47091,9.23368
1485982560,45.50526,9.17205
1485982560,45.48577,9.20371
1485982560,45.44946,9.19578
1485982560,45.48523,9.17108
1485982560,45.44889,9.17793
1485982560,45.43975,9.18334
1485982620,45.46761,9.1599
1485982620,45.46101,9.17574
1485982620,45.49274,9.15969
1485982620,45.49452,9.19668
1485982620,45.44282,9.17211
1485982620,45.49082,9.2368
1485982620,45.46972,9.15617
1485982620,45.46858,9.22143
1485982620,45.50177,9.12552
1485982680,45.48029,9.18839
1485982680,45.48857,9.16022
1485982680,45.45311,9.17861
1485982680,45.49187,9.19528
1485982680,45.48387,9.17039
1485982740,45.48613,9.20918
1485982740,45.49015,9.22274
1485982740,45.45145,9.2095
1485982740,45.44405,9.22667
1485982740,45.43124,9.20175
1485982740,45.40411,9.13121
1485982740,45.50528,9.17207
1485982800,45.45626,9.17002
1485982800,45.44909,9.1708
1485982800,45.48304,9.16969
1485982800,45.48171,9.14692
1485982800,45.46679,9.13927
1485982860,45.4573,9.19137
1485982860,45.48284,9.17709
1485982860,45.48631,9.22976
1485982860,45.45621,9.19924
1485982860,45.45459,9.19199
1485982860,45.47319,9.15981
1485982860,45.48279,9.16939
1485982860,45.47727,9.185
1485982860,45.457,9.15917
1485982860,45.47272,9.22974
1485982920,45.48056,9.14649
1485982980,45.45569,9.14486
1485982980,45.45495,9.16641
1485982980,45.43392,9.17849
1485982980,45.45335,9.21219
1485983040,45.48144,9.19309
1485983040,45.48031,9.21886
1485983040,45.46218,9.15506
1485983040,45.4755,9.15086
1485983040,45.48656,9.16442
1485983040,45.49105,9.14749
1485983040,45.4763,9.13724
1485983040,45.50027,9.20145
1485983040,45.47082,9.22246
1485983040,45.49761,9.2308
1485983040,45.42123,9.20292
1485983100,45.45033,9.20672
1485983100,45.45942,9.18118
1485983100,45.45297,9.16032
1485983100,45.44425,9.15379
1485983160,45.46788,9.14956
1485983160,45.47783,9.1756
1485983160,45.49679,9.15691
1485983160,45.44829,9.16267
1485983160,45.4631,9.1562
1485983160,45.49636,9.15465
1485983220,45.49143,9.15704
1485983220,45.47214,9.21671
1485983220,45.48143,9.18497
1485983220,45.46191,9.18185
1485983220,45.44678,9.17958
1485983220,45.45795,9.21859
1485983220,45.45632,9.17577
1485983220,45.44909,9.18274
1485983220,45.50988,9.17914
1485983220,45.46231,9.14457
1485983220,45.5232,9.1669
1485983220,45.47104,9.18424
1485983220,45.47568,9.20737
1485983220,45.45339,9.20034
1485983220,45.45795,9.13651
1485983220,45.45209,9.19277
1485983220,45.49562,9.18899
1485983220,45.48433,9.16804
1485983220,45.43798,9.17556
1485983280,45.50677,9.19918
1485983280,45.4807,9.20226
1485983280,45.47658,9.16872
1485983280,45.45188,9.15666
1485983280,45.46816,9.14804
1485983280,45.46125,9.1752
1485983280,45.44162,9.18505
1485983340,45.44896,9.20634
1485983340,45.49031,9.21439
1485983400,45.49591,9.19834
1485983400,45.50244,9.1945
1485983400,45.47663,9.22523
1485983460,45.48613,9.20918
1485983460,45.4555,9.16309
1485983460,45.47883,9.22101
1485983460,45.48887,9.19031
1485983460,45.49612,9.18364
1485983460,45.49137,9.18866
1485983520,45.46859,9.17403
1485983520,45.50684,9.22286
1485983580,45.44772,9.21471
1485983580,45.48489,9.19627
1485983580,45.47835,9.17368
1485983580,45.45153,9.13597
1485983580,45.43608,9.18076
1485983580,45.45018,9.21645
1485983640,45.47831,9.21539
1485983640,45.48478,9.1963
1485983640,45.48477,9.19629
1485983640,45.49187,9.18729
1485983640,45.44764,9.15558
1485983640,45.46483,9.21839
1485983640,45.45389,9.16313
1485983640,45.50084,9.20177
1485983640,45.4518,9.15652
1485983700,45.4562,9.17016
1485983700,45.48577,9.20371
1485983700,45.47048,9.16821
1485983700,45.43496,9.18365
1485983760,45.45051,9.19041
1485983760,45.44687,9.16564
1485983760,45.46658,9.19879
1485983760,45.48751,9.19096
1485983760,45.473,9.20818
1485983760,45.48284,9.17709
1485983760,45.44843,9.21337
1485983760,45.49979,9.21432
1485983760,45.45892,9.13672
1485983820,45.45323,9.17215
1485983820,45.438,9.17948
1485983820,45.48743,9.18919
1485983820,45.44909,9.1708
1485983820,45.45781,9.18379
1485983820,45.46308,9.12941
1485983820,45.47132,9.14743
1485983820,45.48899,9.14952
1485983880,45.45271,9.18327
1485983880,45.44841,9.21285
1485983880,45.4827,9.16913
1485983880,45.47142,9.15675
1485983880,45.44848,9.15342
1485983880,45.51785,9.22199
1485983880,45.4731,9.15967
1485983880,45.43932,9.18444
1485983940,45.4584,9.16759
1485983940,45.46241,9.27726
1485983940,45.48025,9.21484
1485983940,45.45179,9.20732
1485983940,45.48053,9.23424
1485983940,45.48904,9.15787
1485984000,45.47493,9.20573
1485984000,45.45271,9.18327
1485984000,45.48763,9.1889
1485984000,45.45782,9.17363
1485984000,45.4562,9.17016
1485984000,45.46031,9.18091
1485984000,45.46611,9.17733
1485984000,45.45743,9.18433
1485984000,45.44036,9.15966
1485984000,45.48557,9.16426
1485984000,45.49545,9.16311
1485984000,45.44868,9.22018
1485984000,45.44215,9.18892
1485984060,45.45228,9.20575
1485984060,45.45626,9.17002
1485984060,45.44772,9.21471
1485984060,45.46354,9.15996
1485984060,45.46427,9.22879
1485984060,45.45604,9.13236
1485984060,45.48477,9.13923
1485984120,45.4689,9.14526
1485984120,45.43347,9.17853
1485984180,45.478,9.17576
1485984180,45.44256,9.19585
1485984180,45.48354,9.22996
1485984180,45.48686,9.16839
1485984240,45.45365,9.17669
1485984240,45.46072,9.13713
1485984240,45.46014,9.18091
1485984240,45.47783,9.1756
1485984240,45.46825,9.22292
1485984240,45.46268,9.16136
1485984240,45.44715,9.16195
1485984240,45.47957,9.21138
1485984240,45.48092,9.16378
1485984240,45.48754,9.19048
1485984240,45.45049,9.15132
1485984240,45.49618,9.15078
1485984300,45.45645,9.16574
1485984300,45.47088,9.21803
1485984300,45.48454,9.22114
1485984300,45.44745,9.18632
1485984300,45.47362,9.23581
